,id,tweet,tweet_cleaned,ypred
26,1515971049258692613t,"@Kevin37884134 No Kevin, we are upset because he was silent for 2 years about abuses and even supported this randomly manslaughter by vaccination.", kevin37884134 no kevin  we are upset because he was silent for 2 years about abuses and even supported this randomly manslaughter by vaccination ,third-party
27,1415668876185010179t,@Velvetpage @Padap1113 @MrStache9 Like I said poor science. I've heard of different pcr cycles for vaxed vs unvaxed. I've heard some places not even testing if you've been vaxxed and are symptomatic. Read an article out of Isreal yesterday saying 40% of new cases are vaxxed people. 1% new cases if you recovered., velvetpage  padap1113  mrstache9 like i said poor science  i have heard of different pcr cycles for vaxed vs unvaxed  i have heard some places not even testing if you have been vaxxed and are symptomatic  read an article out of isreal yesterday saying 40  of new cases are vaxxed people  1  new cases if you recovered ,third-party
28,1406914084512075783t,"@SDECoxHealth This is a man made patented virus, that came with an instant vaccine and pcr test that all is made in China. There is toxins on the tests as in the vaccine. The Indian virus is called the Delta Virus because India wrote WHO that it has NOT been found. Beware..This is treason!", sdecoxhealth this is a man made patented virus  that came with an instant vaccine and pcr test that all is made in china  there is toxins on the tests as in the vaccine  the indian virus is called the delta virus because india wrote who that it has not been found  beware  this is treason ,third-party
29,1510348254692712450t,Bro i was at Bathurst and this guy started running through the station aggressively ripping down all the vaccine clinic signs and screaming VACCINES KILL PEOPLE uhh https://t.co/ta9nHEXjt3,bro i was at bathurst and this guy started running through the station aggressively ripping down all the vaccine clinic signs and screaming vaccines kill people uhh ,non-reporting
30,1417233424469958663t,@andy321LUFC @m3_katty Wtf?? People are literally telling you on this thread their loved ones died after taking the vaccine!!!!, andy321lufc  m3 katty wtf   people are literally telling you on this thread their loved ones died after taking the vaccine    ,third-party
31,1444076777437945860t,@MeidasTouch More like the people pushing for the covid vaccine and democrats are in a cult. Keep on continuing to project yourselves onto others., meidastouch more like the people pushing for the covid vaccine and democrats are in a cult  keep on continuing to project yourselves onto others ,third-party
32,1442215639590998016t,@LetmeTrollinPe1 @jvesikuru1 @sullduggery @WorldWideWob @RollingStone @Baxter @NetsDaily @ramonashelburne @TaylorRooks @TimBontemps @SopanDeb @TheSteinLine @EdgeofSports @deystreet Unvaccinated persons are the least likely to self quarantine. If they were actually afraid of the effects of COVID they wouldn’t think the vaccine was somehow worse., letmetrollinpe1  jvesikuru1  sullduggery  worldwidewob  rollingstone  baxter  netsdaily  ramonashelburne  taylorrooks  timbontemps  sopandeb  thesteinline  edgeofsports  deystreet unvaccinated persons are the least likely to self quarantine  if they were actually afraid of the effects of covid they would not think the vaccine was somehow worse ,non-reporting
33,1466092338531426306t,Even if 100% of the US population got vaccinated the first day it was available that wouldn’t have prevented these variants from popping up globally so please deaf that narrative,even if 100  of the us population got vaccinated the first day it was available that would not have prevented these variants from popping up globally so please deaf that narrative,primary
34,1453654444432838656t,@Azania_my_home @mithisa_motho Lies this is the covid poison disguised as malaria vaccine, azania my home  mithisa motho lies this is the covid poison disguised as malaria vaccine,third-party
35,1472967722816643074t,i am the guy from contagion whose blood was a vaccine if you put me in a room with all the omicron in the world in it the room would explode and i would walk out unscathed,i am the guy from contagion whose blood was a vaccine if you put me in a room with all the omicron in the world in it the room would explode and i would walk out unscathed,third-party
36,1421161214646710275t,"Who is paying for free vaccination boarding across is India  without getting vaccines 🤦🤦🤦🤦

Is it not tax payers money ????? https://t.co/dzok44dyHp",who is paying for free vaccination boarding across is india  without getting vaccines  person facepalming  person facepalming  person facepalming  person facepalming     is it not tax payers money       ,primary
37,1438274245126205444t,Tory candidate says she ‘misspoke’ in opposing vaccine passports https://t.co/2PqVU1mmFs,tory candidate says she  misspoke  in opposing vaccine passports ,primary
38,1430574958955094018t,"I know, I know, we were told the vaccine was going to fix everything. It's not, and it won't. Vaccines help make a virus manageable, but they're not magic. The pandemic is far from over. 

Live responsibly.",i know  i know  we were told the vaccine was going to fix everything  it is not  and it will not  vaccines help make a virus manageable  but they are not magic  the pandemic is far from over      live responsibly ,non-reporting
39,1509670175552933913t,'Don't be complacent' - young Pasifika urged to get vaccinated this weekend https://t.co/ahO54WqVkX https://t.co/Y7ECLdw4ew, do not be complacent    young pasifika urged to get vaccinated this weekend  ,non-reporting
40,1443634517797900290t,"@BBCScotlandNews Which age range are the most likely to go to nightclubs?  What's the rate currently doing?

There is no need for vaccine passports, in nightclubs or anywhere else! https://t.co/JobFHwvhoA", bbcscotlandnews which age range are the most likely to go to nightclubs   what is the rate currently doing     there is no need for vaccine passports  in nightclubs or anywhere else  ,primary
41,1419997780030808067t,"Am going to tell u about my vaccination second dose March 1, 2021 of this year. Due to our Governor we did not have the needed vaccines here in my area. And it wasn’t oh hospital staff first, either. I had to wait until my age group was permitted to apply for vaccination. I/",am going to tell you about my vaccination second dose march 1  2021 of this year  due to our governor we did not have the needed vaccines here in my area  and it was not oh hospital staff first  either  i had to wait until my age group was permitted to apply for vaccination  i ,non-reporting
42,1399019058872344581t,"To close NYC's vaccine equity gap, it's time to shut down the mass vax sites (Javits etc) and redeploy the staff to under-vax'd neighborhoods.

We need more outreach on the ground. We need more vaccination offered in community centers, houses of worship, door to door. Everywhere.",to close nyc s vaccine equity gap  it is time to shut down the mass vax sites  javits etc  and redeploy the staff to under vax d neighborhoods     we need more outreach on the ground  we need more vaccination offered in community centers  houses of worship  door to door  everywhere ,non-reporting
43,1442025608687521792t,New story on NPR: A Federal Judge Blocks A Vaccine Mandate For NYC Teachers https://t.co/lrh67JJQJD,new story on npr  a federal judge blocks a vaccine mandate for nyc teachers ,primary
44,1438529133865226249t,So that’s why I’m not vaccinated. https://t.co/6PUc5cr9S2,so that is why i am not vaccinated  ,third-party
45,1428442936426041345t,"Northwestern Michigan College students have a chance to win free tuition, housing, bookstore gift certificates and more by getting vaccinated against COVID-19.

https://t.co/TKsrruy1VS",northwestern michigan college students have a chance to win free tuition  housing  bookstore gift certificates and more by getting vaccinated against covid 19     ,primary
46,1449147097954103299t,"Cities, police unions clash as vaccine mandates take effect https://t.co/G0cMFGoNDt",cities  police unions clash as vaccine mandates take effect ,primary
47,1456963019670425601t,"@Lau1Keith @daclayfish ...what? So lying about being vaccinated, which breaks the trust you have between yourself and your team / fans... equates to individuals lying to Gestapo police (Jew hunters essentially) about Jews hiding in their household. 
The two do NOT equate at all.
Shame on you.", lau1keith  daclayfish    what  so lying about being vaccinated  which breaks the trust you have between yourself and your team   fans    equates to individuals lying to gestapo police  jew hunters essentially  about jews hiding in their household    the two do not equate at all   shame on you ,primary
48,1460163709523927046t,"Turkey updates its quarantine rules for vaccinated travellers from India, Nepal - ANI News https://t.co/6n7boaqMzW",turkey updates its quarantine rules for vaccinated travellers from india  nepal   ani news ,primary
49,1416498812290363395t,@Amanisaboss1 @djcgreydoe @MollyJongFast You should hear about the side effects of not getting vaccinated and getting sick., amanisaboss1  djcgreydoe  mollyjongfast you should hear about the side effects of not getting vaccinated and getting sick ,non-reporting
50,1456769329379397639t,Moderna Scales Back Projected Output for COVID Vaccine https://t.co/zUszyiuSt7,moderna scales back projected output for covid vaccine ,primary
51,1403230433458982912t,"@AndrewHolnessJM Question 1, why are you bribing persons to take a vaccination that they would not have taken if you had not coerced them to take, and why is it ok for you to bribe people when bribery by law is illegal but it's ok for you to do it?", andrewholnessjm question 1  why are you bribing persons to take a vaccination that they would not have taken if you had not coerced them to take  and why is it ok for you to bribe people when bribery by law is illegal but it is ok for you to do it ,third-party
52,1520499276736045058t,At this point in time and what time I have left is in God's hands not mine or the vaccine. I did what I believe he wanted me to do to put my self below the the safety of the young in life. I have and have myself close enough to death and lived and I know it was God that saved me! https://t.co/tnJY3ac74P,at this point in time and what time i have left is in god s hands not mine or the vaccine  i did what i believe he wanted me to do to put my self below the the safety of the young in life  i have and have myself close enough to death and lived and i know it was god that saved me  ,third-party
53,1419066866350399492t,"Pretty sure that no GM produce was used in the vaccine, pretty sure it’s vegan, so, what’s the fkn problem? Fine to eat meat substitutes that have the same texture and taste as meat without wondering how they were created in the labs.",pretty sure that no gm produce was used in the vaccine  pretty sure it is vegan  so  what is the fkn problem  fine to eat meat substitutes that have the same texture and taste as meat without wondering how they were created in the labs ,non-reporting
54,1441093968364638213t,"Pfizer’s own VP says @HHSGov and @CDCgov are LYING! 
So disgusted in our government…why lie? Money? Control?…or both!
#COVID19 
#VaccineMandate 
Long Covid 
#LongCovidKids 
#CovidVaccine   (@Mignon44) https://t.co/eXojvs6sGc",pfizer s own vp says  hhsgov and  cdcgov are lying    so disgusted in our government why lie  money  control  or both    covid19    vaccinemandate   long covid    longcovidkids    covidvaccine     mignon44  ,third-party
55,1419817437390807048t,"@AusAntiLeft @ellymelly Do we actually have a killer 'pandemic' when they have to test 80,000 (??)people to get about 111 'pos' cases??? 
How many people are there in hospital;
1 'with covid 19?'   
2 'from effects of the vaccine? https://t.co/0iQIlNBe8E", ausantileft  ellymelly do we actually have a killer  pandemic  when they have to test 80 000     people to get about 111  pos  cases      how many people are there in hospital   1  with covid 19       2  from effects of the vaccine  ,third-party
56,1465542251455471619t,"@GOP No, the GOP failed by spreading disinformation, making people vaccine hesitant so that you could do just this, blame it on the person who actually tried to make  this country healthy and safe. You care more about politics and power then you do the American people.", gop no  the gop failed by spreading disinformation  making people vaccine hesitant so that you could do just this  blame it on the person who actually tried to make  this country healthy and safe  you care more about politics and power then you do the american people ,non-reporting
57,1457450503785246721t,We did it!! So proud of my kids Aidan and Mary Kate!! #vaccinated @ChildrensColo @cdphe https://t.co/sKylllP5EG,we did it   so proud of my kids aidan and mary kate    vaccinated  childrenscolo  cdphe ,non-reporting
58,1405749607947112450t,@Citizen004 I wasnt convinced mixing the 2 types of vaccine had been proven advisable when I made my decision., citizen004 i was not convinced mixing the 2 types of vaccine had been proven advisable when i made my decision ,third-party
59,1451711136139595781t,@dovgvlad Nah; he was probably terminally stupid before he vaxxed., dovgvlad nah  he was probably terminally stupid before he vaxxed ,third-party
60,1395688332181610498t,"Update From: CVS Pharmacy in WASHINGTON, DC
With Dates: 2021-05-22,2021-05-23,2021-05-24,2021-05-25
WASHINGTON, 20015
URL: https://t.co/tyRTL0OP8H
May 21, 6:30 AM",update from  cvs pharmacy in washington  dc  with dates  2021 05 22 2021 05 23 2021 05 24 2021 05 25  washington  20015  url    may 21  6 30 am,primary
61,1492616828862046208t,@brill_inst @stealthygeek Patrick is wrong about this. They're still doctors who are against the vaccine. He just ignores this fact because it doesn't fit his narrative., brill inst  stealthygeek patrick is wrong about this  they are still doctors who are against the vaccine  he just ignores this fact because it does not fit his narrative ,third-party
62,1411584833688543235t,"MULTILINGUAL NEWS SERVICE GREEK  04-07-21
#news #covid19 #media #coronavirus  #currentaffairs #breakingnews  #journalism #follow #corona #like #lockdown #trending #multilingual #multicultural #radio #greek #vaccine  https://t.co/lbI2JJ40J9",multilingual news service greek  04 07 21   news  covid19  media  coronavirus   currentaffairs  breakingnews   journalism  follow  corona  like  lockdown  trending  multilingual  multicultural  radio  greek  vaccine  ,primary
63,1460277723021017088t,@ericabr9499 @NFL_Strategy @ElectionWiz Did his doctor's admit is was vaccine related? Was it reported?, ericabr9499  nfl strategy  electionwiz did his doctor s admit is was vaccine related  was it reported ,primary
64,1420444295727824906t,@Haqeeqat_TV Are these vaccines are safe? Teted or not. Just prepared and start vaccination what a shit..., haqeeqat tv are these vaccines are safe  teted or not  just prepared and start vaccination what a shit   ,third-party
65,1438241952399609862t,"@AntToene @ShesFishy @hexgems @NICKIMINAJ Since you’re all that,then you don’t have a point. Please take a seat. I’m vaccinated and won’t put others safety in danger.", anttoene  shesfishy  hexgems  nickiminaj since you are all that then you do not have a point  please take a seat  i am vaccinated and will not put others safety in danger ,non-reporting
66,1475551903530434560t,"...mandated to be vaccinated. Zero. So of t/ 3 million that have attempted — t/ 600,000 that have been successful, t/other 6, 700,000 that this admin has allowed in to illegally enter — they’re not testing them, nor is there any vaccine mandate 4 those individuals, &amp; they’re...'""",   mandated to be vaccinated  zero  so of t  3 million that have attempted   t  600 000 that have been successful  t other 6  700 000 that this admin has allowed in to illegally enter   they are not testing them  nor is there any vaccine mandate 4 those individuals   amp  they are     ,non-reporting
67,1483559679691300865t,@JeanRees10 Marketing. And easy to market that way because people expect vaccines to stop infection and spread. Is vaccine even the right word for something designed to reduce symptomatic disease and death?, jeanrees10 marketing  and easy to market that way because people expect vaccines to stop infection and spread  is vaccine even the right word for something designed to reduce symptomatic disease and death ,third-party
68,1489052326933504008t,"@sueytonius @William230616 @bulkbiker We should be looking at all cause mortality in the vaccinated and unvaccinated! Also yet again the ONS moved the goal post in January because for the last 2 years death average taken from 5 year prior to covid ,", sueytonius  william230616  bulkbiker we should be looking at all because mortality in the vaccinated and unvaccinated  also yet again the ons moved the goal post in january because for the last 2 years death average taken from 5 year prior to covid  ,primary
69,1409852992514265089t,"World passes new vaccine milestone with almost half its population jabbed

@ahkmlog @arifsetia2013rd @ayg16 @billibear3 @broz6969 @cheong_desmond @devilishram @frantickl @imfsea_aruna @lowelsielow @nonvitaltooth @normsaid @prabdullah @skumar176 @yvonneapy

https://t.co/btfmBhDpct",world passes new vaccine milestone with almost half its population jabbed     ahkmlog  arifsetia2013rd  ayg16  billibear3  broz6969  cheong desmond  devilishram  frantickl  imfsea aruna  lowelsielow  nonvitaltooth  normsaid  prabdullah  skumar176  yvonneapy    ,non-reporting
70,1456079465612783620t,"Hot take: Leftism is about the common good, even when it's inconvenient for you. I don't trust you if you're an anti-vaxxer masquerading as a ""concerned citizen,"" and neither should anyone else. What else that benefits the common good is too inconvenient for you?",hot take  leftism is about the common good  even when it is inconvenient for you  i do not trust you if you are an anti vaxxer masquerading as a  concerned citizen   and neither should anyone else  what else that benefits the common good is too inconvenient for you ,non-reporting
71,1435470764011134977t,@NEOsborn That's really not OK... But curious - a ws he recently vaccinated? Appendicitis happens quite often these days after vac., neosborn that is really not ok    but curious   a ws he recently vaccinated  appendicitis happens quite often these days after vac ,primary
72,1473585461104943105t,"@AJ3 Course your happy you get more views and more interaction which is great on your end. But what your doing is shocking and not what I tought I’d see you lower yourself to, I’m vaccinated, but you certainly don’t have the credentials to tell someone how to look after their body 🤦🏻‍♂️", aj3 course your happy you get more views and more interaction which is great on your end  but what your doing is shocking and not what i tought i would see you lower yourself to  i am vaccinated  but you certainly do not have the credentials to tell someone how to look after their body  man facepalming light skin tone ,third-party
73,1423241711845847045t,"@R79515320 Smart of you to check this! If you received your second shot within the EU, the country that vaccinated you will provide you with a corona certificate (Digital Corona Certificate). You can read this on https://t.co/knVjNDLU9Y (Dutch). ^CW", r79515320 smart of you to check this  if you received your second shot within the eu  the country that vaccinated you will provide you with a corona certificate  digital corona certificate   you can read this on   dutch    cw,primary
74,1455063701925466112t,"Australian Government recognises Bharat Biotech's Covaxin for the purpose of establishing a traveller's vaccination status: Australia’s High Commissioner to India, Barry O’Farrell AO

(ANI)",australian government recognises bharat biotech s covaxin for the purpose of establishing a traveller s vaccination status  australia s high commissioner to india  barry o farrell ao     ani ,primary
75,1429671656016973825t,"Good morning!
I‘m getting my second shot of vaccine today :)) are ya‘ll already vaccinated?",good morning   i m getting my second shot of vaccine today     are ya ll already vaccinated ,non-reporting
76,1422710007901138944t,"Hey, Dummies: Never mind. You’re not worth it (but my family is) #GetVaccinated",hey  dummies  never mind  you are not worth it  but my family is   getvaccinated,non-reporting
77,1422685807450669060t,"The elites want to decide where you are allowed to go. They will segregate the serfs however they wish and you will bend the knee in submission.

Welcome to the American Reich.

https://t.co/7vNpdyeiGQ",the elites want to decide where you are allowed to go  they will segregate the serfs however they wish and you will bend the knee in submission     welcome to the american reich     ,third-party
78,1427790222834556928t,"@LucyThack @bridgetrose97 The fact that the category system was abandoned before 1a/b were vaccinated and then it turned into the Hunger Games is being tragically exposed right now.
I am REALLY GRATEFUL to every journalist making sure to highlight cases in Indigenous Communities, aged/disability care.", lucythack  bridgetrose97 the fact that the category system was abandoned before 1a b were vaccinated and then it turned into the hunger games is being tragically exposed right now   i am really grateful to every journalist making sure to highlight cases in indigenous communities  aged disability care ,non-reporting
79,1437055108882251782t,@wdsu Vermont is the most vaccinated state and their cases are up 4000%. 20 deaths for the last month too. This same time last year they had 0., wdsu vermont is the most vaccinated state and their cases are up 4000   20 deaths for the last month too  this same time last year they had 0 ,non-reporting
80,1488121398857846785t,TNRD pauses implementation of COVID-19 vaccination policy; mandate was to take effect Feb. 1 https://t.co/VUSe8TArBw https://t.co/MYdeevG2NX,tnrd pauses implementation of covid 19 vaccination policy  mandate was to take effect february 1  ,primary
81,1406148593354907652t,Next episode of my #dietx podcast is ready for you to listen for free on @spotifypodcasts @ApplePodcasts @gaana for free .. &amp; I am talking about care around vaccine.. happy listening 😊 #podcaster #weekendvibes #COVIDVaccination https://t.co/xXaZ4xYBz5,next episode of my  dietx podcast is ready for you to listen for free on  spotifypodcasts  applepodcasts  gaana for free     amp  i am talking about care around vaccine   happy listening  smiling face with smiling eyes   podcaster  weekendvibes  covidvaccination ,primary
82,1457204884978216964t,@WestinDane @tatereeves Thought you said it nothing to do with the vaccine., westindane  tatereeves thought you said it nothing to do with the vaccine ,primary
83,1486480912456077313t,"@FullMetalSnorla @ChickFrmOntario I just hope that everyone can learn more information and then judge for themselves. People who believe in vaccines can continue to get vaccinated, and they can get booster shots. But now the situation is: Israel— with the highest vaccination rate, is more serious", fullmetalsnorla  chickfrmontario i just hope that everyone can learn more information and then judge for themselves  people who believe in vaccines can continue to get vaccinated  and they can get booster shots  but now the situation is  israel  with the highest vaccination rate  is more serious,primary
84,1430672411993812995t,@mrbutlerjohn @AnMed_Health @MikeEllis_AIM Nope. Those vaxxed who DON’T go to the hospital also don’t go to the ICU and aren’t included in your numbers. They’re all set. They DON’T have “roughly the same chance of going to ICU.” Please restate your takeaway., mrbutlerjohn  anmed health  mikeellis aim nope  those vaxxed who do not go to the hospital also do not go to the icu and are not included in your numbers  they are all set  they do not have  roughly the same chance of going to icu   please restate your takeaway ,non-reporting
85,1416037878820442117t,"I'm by no means an anti-vaxxer, however, the speed to which the slew of Covid vaccines were developed, synthesized, tested, approved, and rolled out, AND for one of them to be pulled due to adverse effects gives me great pause on getting it.",i am by no means an anti vaxxer  however  the speed to which the slew of covid vaccines were developed  synthesized  tested  approved  and rolled out  and for one of them to be pulled due to adverse effects gives me great pause on getting it ,third-party
86,1452963995200200709t,@DrugPolicyOrg Talk about drug poisoning from the jab deaths from the jab then realise that the jab / not a vaccine is more deadly than some street drugs - pharmaceutical companies and politicians and drs and chemists are drug dealers who also kill people when they give people drugs -, drugpolicyorg talk about drug poisoning from the jab deaths from the jab then realise that the jab   not a vaccine is more deadly than some street drugs   pharmaceutical companies and politicians and drs and chemists are drug dealers who also kill people when they give people drugs  ,third-party
87,1423731995239075841t,"Lyft, Kroger team up on rides to COVID-19 vaccine appointments https://t.co/VWiEtrCTK7 https://t.co/2W2KJtzJg2",lyft  kroger team up on rides to covid 19 vaccine appointments  ,primary
88,1430924156749631488t,Hockey organizations: Say No to GTHL Vaccine Mandate https://t.co/MdA39dnRWw via @CdnChange,hockey organizations  say no to gthl vaccine mandate  via  cdnchange,third-party
89,1435709234663002119t,@Spinthemap @huminbeen @Brett_CBC Did i mention delta? Perhaps you should check stats on who is currently in hospital and who is dying. And read up on how/where new variants form. Here’s a hint for you: It’s MUCH more likely to happen in an unvaccinated person. Vaxxed people protect those who can’t be vaxxed., spinthemap  huminbeen  brett cbc did i mention delta  perhaps you should check stats on who is currently in hospital and who is dying  and read up on how where new variants form  here is a hint for you  it is much more likely to happen in an unvaccinated person  vaxxed people protect those who cannot be vaxxed ,non-reporting
90,1425526111170039808t,"@HiThisIsAnu Yup! I heard about this too.  I won’t be surprised if other districts follow this. Especially for Elementary schools as those kids are not vaccinated, &amp; some parents/groups are protesting abt requiring masks.  
I just wish everyone is safe, as getting sick is not fun!", hithisisanu yup  i heard about this too   i will not be surprised if other districts follow this  especially for elementary schools as those kids are not vaccinated   amp  some parents groups are protesting about requiring masks     i just wish everyone is safe  as getting sick is not fun ,non-reporting
91,1505624876358553609t,@engineers_feed Probably the whole covid vaccine is population control thing. These anti-vaxxers are nuts. Lol, engineers feed probably the whole covid vaccine is population control thing  these anti vaxxers are nuts  lol,non-reporting
92,1419854627143569421t,"@WardDPatrick @pdoocy @JoeBiden Whose fault?  Morons who refuse to get vaccinated. So, it’s mostly the GQP’s fault.", warddpatrick  pdoocy  joebiden whose fault   morons who refuse to get vaccinated  so  it is mostly the gqp s fault ,non-reporting
