,id,tweet,tweet_cleaned,ypred,ypred_cat,pred
36,1314315078959685632t,@NotATweeter16 @briantylercohen @KevinMKruse Conjunctivitis...big symptom now recorded by doctors in patients with COVID...anyone check out Pence's red eye...Mike is positive too. And no mask on Mrs. Pence on stage...all dangerous low life., notatweeter16  briantylercohen  kevinmkruse conjunctivitis   big symptom now recorded by doctors in patients with covid   anyone check out pence s red eye   mike is positive too  and no mask on mrs  pence on stage   all dangerous low life ,1,1,third-party
37,1244230025504870400t,Abakaliki has a centre for lassa fever. Just need to upgrade to covid-19 testing centre. Better than trying to build one from the scratch now. We need to start testing in the SE asap.,abakaliki has a centre for lassa fever  just need to upgrade to covid 19 testing centre  better than trying to build one from the scratch now  we need to start testing in the se as soon as possible ,0,0,non-reporting
38,1320056249845751810t,"@WeirdBristol 🙄 hay fever, allergies, bogies, wearing cloth over your face can all cause coughing and sneezing not just corona viruses. So anyone who sneezes shouldn’t go out now by your logic.", weirdbristol  face with rolling eyes  hay fever  allergies  bogies  wearing cloth over your face can all because coughing and sneezing not just corona viruses  so anyone who sneezes should not go out now by your logic ,0,0,non-reporting
39,1314829924738510848t,@igorbobic Where is the evidence that pence tested negative? He absolutely was exposed by trump &amp; had conjunctivitis at the debate. Conjunctivitis is a symptom of covid!, igorbobic where is the evidence that pence tested negative  he absolutely was exposed by trump  amp  had conjunctivitis at the debate  conjunctivitis is a symptom of covid ,1,1,third-party
40,1332348186208444418t,@Nadiakh63621527 @OfficialDGISPR @HamidMirPAK @ZakaWaqar hahaha tu abb kya kre mery baba ko corona i have symptoms too 3 days se beemar ho but ami keh rhe hai test 29 ko do...bss advnce me corona tblts la rhey hai cough ko sy cntrl krenga ?? hmry prnts ko kon smjhaai ?? sucidal thoughts athey hai no other way left, nadiakh63621527  officialdgispr  hamidmirpak  zakawaqar hahaha tu abb kya kre mery baba ko corona i have symptoms too 3 days se beemar ho but ami keh rhe hai test 29 ko do   bss advnce me corona tblts la rhey hai cough ko sy cntrl krenga    hmry prnts ko kon smjhaai    sucidal thoughts athey hai no other way left,3,3,secondary
41,1314273615639175171t,@andersoncooper I think Pence may have Corona Virus because he had conjunctivitis during the debates. Viral conjunctivitis is seen in COVID., andersoncooper i think pence may have corona virus because he had conjunctivitis during the debates  viral conjunctivitis is seen in covid ,1,1,third-party
42,1239796398704357376t,Feeling nostalgic for the good ol' days when I only associated corona virus with calf diarrhea. #COVID19,feeling nostalgic for the good old days when i only associated corona virus with calf diarrhea   covid19,0,0,non-reporting
43,1240415981492670467t,"WHO now recommends to AVOID ibuprofen if you are experiencing symptoms of COVID-19 (sore throat, fever and dry cough). Using anti-inflammatory medication could increase the symptoms of COVID-19. #COVID19",who now recommends to avoid ibuprofen if you are experiencing symptoms of covid 19  sore throat  fever and dry cough   using anti inflammatory medication could increase the symptoms of covid 19   covid19,0,0,non-reporting
44,1250791055210905600t,@JBatesNews @SaltzerHealth Did you take the antibody test? I would think that would be the test to take if your cough was over a month ago since the swab is only going to find if you currently have covid-19. So seems like a waste of a test to me., jbatesnews  saltzerhealth did you take the antibody test  i would think that would be the test to take if your cough was over a month ago since the swab is only going to find if you currently have covid 19  so seems like a waste of a test to me ,0,0,non-reporting
45,1305383212806549505t,@twoadoptivedads @Taylorbevv If it's just a sore throat it doesn't need a Covid test. Guidelines are that tests should only be taken for one of fever/cough/loss of taste., twoadoptivedads  taylorbevv if it is just a sore throat it does not need a covid test  guidelines are that tests should only be taken for one of fever cough loss of taste ,0,0,non-reporting
46,1254849570036727814t,The CDC finally added “loss of taste &amp;/or smell” as a Covid-19 symptom,the cdc finally added  loss of taste  amp  or smell  as a covid 19 symptom,0,0,non-reporting
47,1262676185298976768t,@mmayomi Thank you.  This is my question to those who make light of COVID-19 and highlight unrealistic similarities with malaria fever.   Each one must take responsibility and stay safe., mmayomi thank you   this is my question to those who make light of covid 19 and highlight unrealistic similarities with malaria fever    each one must take responsibility and stay safe ,0,0,non-reporting
48,1312049313699303424t,If the symptoms of covid include headache and irritability I have been infected since 1985.,if the symptoms of covid include headache and irritability i have been infected since 1985 ,2,2,primary
49,1319247143140544512t,Being on your cycle while also having Covid makes you question everything. There’s so much overlap: - overwhelming fatigue  - more frequent poops - headache  - body aches   Like bruh 😒,being on your cycle while also having covid makes you question everything  there is so much overlap    overwhelming fatigue    more frequent poops   headache    body aches   like bruh  unamused face ,0,0,non-reporting
50,1310828876415643649t,I’ve been sick for a week with a high ass fever and I forsure thought I had corona... my test came back negative 😤😤😤 like wtf did I have then,i have been sick for a week with a high ass fever and i forsure thought i had corona    my test came back negative  face with steam from nose  face with steam from nose  face with steam from nose  like wtf did i have then,2,2,primary
51,1332943790483468290t,"@KarenFr89431067 @Cleavon_MD @SpiroAgnewGhost My sister, whom works as a RN has worked several times with COVID-19 patients, and has indeed caught the virus herself. Headache for one day and inability to taste for 5 days and a little body aches..yes she has coronary artery disease. Billions to hospitals believe what u want", karenfr89431067  cleavon md  spiroagnewghost my sister  whom works as a right now has worked several times with covid 19 patients  and has indeed caught the virus herself  headache for one day and inability to taste for 5 days and a little body aches  yes she has coronary artery disease  billions to hospitals believe what you want,3,3,secondary
52,1319568584406896640t,"@Jemandcats I feel it.  Same here.  I don't have the right symptoms for COVID, but with a fever I can't go to work.  Ugh", jemandcats i feel it   same here   i do not have the right symptoms for covid  but with a fever i cannot go to work   ugh,2,2,primary
53,1310793436526641153t,@agentsaba I watch for fever and if there isn't I tend to rule out covid. But that's given where we live too (low risk), agentsaba i watch for fever and if there is not i tend to rule out covid  but that is given where we live too  low risk ,0,0,non-reporting
54,1315097611611889664t,"For those who might not know that The Orange One's letter means nothing: fever-free does not mean you are COVID free. I never had a fever. I shed virus for a 2 weeks &amp; had to have two negative tests before I was rid of it. I'm sure this is no surprise to anyone, but THEY LIE.",for those who might not know that the orange one s letter means nothing  fever free does not mean you are covid free  i never had a fever  i she would virus for a 2 weeks  amp  had to have two negative tests before i was rid of it  i am sure this is no surprise to anyone  but they lie ,2,2,primary
55,1273261838181031936t,"Min. @MujaJeanne: Over the last two decades, we have witnessed several international health crises including Lassa fever, Ebola among others as well as COVID-19. It is only right to be concerned about future pandemics that now seem almost inevitable.",min   mujajeanne  over the last two decades  we have witnessed several international health crises including lassa fever  ebola among others as well as covid 19  it is only right to be concerned about future pandemics that now seem almost inevitable ,0,0,non-reporting
56,1269624127851200512t,"@DWords48 @horsesandhounds @HeyTammyBruce Look for emergency warning signs for COVID-19. If someone is showing any of these signs, seek emergency medical care immediately:  Trouble breathing  Persistent pain or pressure in the chest  New confusion  Inability to wake or stay awake  Bluish lips or face", dwords48  horsesandhounds  heytammybruce look for emergency warning signs for covid 19  if someone is showing any of these signs  seek emergency medical care immediately   trouble breathing  persistent pain or pressure in the chest  new confusion  inability to wake or stay awake  bluish lips or face,0,0,non-reporting
57,1270221047351173121t,"I HATE seeing stuff like “was the corona virus even real?” Y’all, when someone had symptoms I could tell he has corona by just looking at them and hearing them cough once. I watched so many people die. Shit was definitely real. 😒 disrespectful to everyone that died.",i hate seeing stuff like  was the corona virus even real   you all  when someone had symptoms i could tell he has corona by just looking at them and hearing them cough once  i watched so many people die  shit was definitely real   unamused face  disrespectful to everyone that died ,0,0,non-reporting
58,1324433803641761793t,"Do you know the symptoms of coronavirus #COVID19?  If you have either a new continuous cough, high temperature, or loss of or change in sense of smell, you need to self-isolate &amp; get a COVID-19 test.  Check your symptoms using the symptom checker here:  https://t.co/e4dsj7awSa  https://t.co/qf7UKfaMYe",do you know the symptoms of coronavirus  covid19   if you have either a new continuous cough  high temperature  or loss of or change in sense of smell  you need to self isolate  amp  get a covid 19 test   check your symptoms using the symptom checker here     ,0,0,non-reporting
59,1308635893968719872t,"@ShamikaRavi @shailajateacher Agreed.  By early detection and theirby treatment, we can convert down corona fear to normal fever and flu. Ofcourse we have to stay vigilant and cautious all the time with all other social lige precautions.", shamikaravi  shailajateacher agreed   by early detection and theirby treatment  we can convert down corona fear to normal fever and flu  ofcourse we have to stay vigilant and cautious all the time with all other social lige precautions ,0,0,non-reporting
60,1263733999282855937t,Alot of people have this fever I Hope this is not the corona#,alot of people have this fever i hope this is not the corona ,0,0,non-reporting
61,1323675317115015168t,"1/2 Yesterday, I had to go for a rapid COVID test. On Sunday, four days after being in the cemetery with a properly masked, appropriately distanced, acceptable (but still large) number of persons, I developed a cough. Until Oct 3, I was only in contact with my ""pod.""",1 2 yesterday  i had to go for a rapid covid test  on sunday  four days after being in the cemetery with a properly masked  appropriately distanced  acceptable  but still large  number of persons  i developed a cough  until oct 3  i was only in contact with my  pod  ,2,2,primary
62,1332076033038831620t,"@tpwkxloz well, it's corona innit? say you have a sore throat and suggest staying home for safety reasons", tpwkxloz well  it is corona is it not  say you have a sore throat and suggest staying home for safety reasons,0,0,non-reporting
63,1317963570089373696t,"I've been hearing the new COVID measures in Switzerland may not be enough, but what should we do? My observation is very simple, not repeated enough, DO NOT GO OUT with a cold, a cough, a running nose. Especially with a cold and no mask, even outside! (If possible) Very simple.",i have been hearing the new covid measures in switzerland may not be enough  but what should we do  my observation is very simple  not repeated enough  do not go out with a cold  a cough  a running nose  especially with a cold and no mask  even outside   if possible  very simple ,0,0,non-reporting
64,1284960882313826304t,"@iLoveDarkRooms @feggeborn @GeoffreyOnyeama is covid-19 only virus that killing people? mind you TB ,lassa fever,Aids are still in town my brother wake up dont let them fool you, though covid-19 is real stay safe", ilovedarkrooms  feggeborn  geoffreyonyeama is covid 19 only virus that killing people  mind you tb  lassa fever aids are still in town my brother wake up do not let them fool you  though covid 19 is real stay safe,0,0,non-reporting
65,1312529340937035776t,"Look- I keep on replying to people justifying this: why would Trump say he has COVID-19 when it’s a horribly embarrassing development for him? If you know anything about Trump, you know he thinks getting sick projects weakness &amp; him being wrong is impossible",look  i keep on replying to people justifying this  why would trump say he has covid 19 when it is a horribly embarrassing development for him  if you know anything about trump  you know he thinks getting sick projects weakness  amp  him being wrong is impossible,1,1,third-party
66,1237788024358031360t,"Mad this corona virus, Used to cough to hide my fart, now i fart to hide my cough",mad this corona virus  used to cough to hide my fart  now i fart to hide my cough,0,0,non-reporting
67,1241355724116103169t,Please pay attention: Sudden loss of senses of taste and smell are now considered symptoms of COVID-19,please pay attention  sudden loss of senses of taste and smell are now considered symptoms of covid 19,0,0,non-reporting
68,1329220225997410306t,@LadyAlyze @voluntaryasmine You people are so brainwashed it's sad. I feel so sorry for you. My husband got it way back. he was in bed 1 day and a mild cough for a week. He's 70. Today a guy fell off a ladder and died with/from COVID., ladyalyze  voluntaryasmine you people are so brainwashed it is sad  i feel so sorry for you  my husband got it way back  he was in bed 1 day and a mild cough for a week  he is 70  today a guy fell off a ladder and died with from covid ,3,3,secondary
69,1290737395797696512t,"@dryfly_whodat @OPCGhost A little pork to the boys back home, a little red meat to the base goes a long way in low turnout elections.   His inability to whip his own party into passing a 2nd COVID package without giving away the store (or PX) to military &amp; 1%ers shows his weakness inside the GOP.", dryfly whodat  opcghost a little pork to the boys back home  a little red meat to the base goes a long way in low turnout elections    his inability to whip his own party into passing a 2nd covid package without giving away the store  or px  to military  amp  1 ers shows his weakness inside the gop ,0,0,non-reporting
70,1324948191834419201t,So I mentioned yesterday that Dad tested positive for COVID...I currently have a triple digit fever. 🙃,so i mentioned yesterday that dad tested positive for covid   i currently have a triple digit fever   upside down face ,2,2,primary
71,1304658086335049728t,"Two kids who have a cough since being back at school on Mon - shocker.   Use the @GOVUK website to find a centre as I'm sure it's just a cough rather than corona but they won't let them back without a test.   No home kits available, no walk in or drive thru available. Excellent.",two kids who have a cough since being back at school on mon   shocker    use the  govuk website to find a centre as i am sure it is just a cough rather than corona but they will not let them back without a test    no home kits available  no walk in or drive thru available  excellent ,3,3,secondary
72,1252695529319882753t,"@MayorKirkHNL ""Widespread pulse oximetry screening for Covid pneumonia — whether people check themselves on home devices or go to clinics or doctors’ offices — could provide an early warning system for the kinds of breathing problems associated with Covid pneumonia.""", mayorkirkhnl  widespread pulse oximetry screening for covid pneumonia   whether people check themselves on home devices or go to clinics or doctors  offices   could provide an early warning system for the kinds of breathing problems associated with covid pneumonia  ,0,0,non-reporting
73,1311837128628731904t,@CallaWalsh I’m in my hometown near Denver. Schools are largely open for in-person instruction. Students who run a fever go home for 24 hours and don’t need a negative COVID test to go back to class.  Covid tests are not available to students through schools. At all., callawalsh i am in my hometown near denver  schools are largely open for in person instruction  students who run a fever go home for 24 hours and do not need a negative covid test to go back to class   covid tests are not available to students through schools  at all ,0,0,non-reporting
74,1295405887130132482t,@ThatCorbynista Yes-more important than ever-evolving data indicate covid more like measles-doesn’t take cough or sneeze just respired air &amp; hangs around for hours so wear a mask whenever you’re not at home-most important risk reduction action, thatcorbynista yes more important than ever evolving data indicate covid more like measles does not take cough or sneeze just respired air  amp  hangs around for hours so wear a mask whenever you are not at home most important risk reduction action,0,0,non-reporting
75,1298852652978233345t,"#COVID19SA #Nitazoxanide the study will evaluate the effect of NTZ on SARS-CoV-2 viral parameters [duration and burden of viral load, duration of viral culture positivity (viral shedding), and viral cough aerosol positivity] and secondary development of COVID-19 in contacts. KB", covid19sa  nitazoxanide the study will evaluate the effect of ntz on sars cov 2 viral parameters  duration and burden of viral load  duration of viral culture positivity  viral shedding   and viral cough aerosol positivity  and secondary development of covid 19 in contacts  kb,0,0,non-reporting
76,1311791143219195904t,@NateMN12 @AdamSchefter I hope someone with Covid coughs in ur face., natemn12  adamschefter i hope someone with covid coughs in you are face ,0,0,non-reporting
77,1245622134145048578t,@NYGovCuomo My nephew has autoimmune issues. Pancreatic problems. He has corona. They wont give him a test.they wont admit him. Rural NYS has No Tests. He cant breathe/ walk . He has a high fever. Hes coughing.  Hes very very sick. Nobody cares. We are failing our loved ones. Im afraid., nygovcuomo my nephew has autoimmune issues  pancreatic problems  he has corona  they will not give him a test they will not admit him  rural nys has no tests  he cannot breathe  walk   he has a high fever  hes coughing   hes very very sick  nobody cares  we are failing our loved ones  i am afraid ,3,3,secondary
78,1288139990615040006t,I smoked two cigarettes after 1week with a person who had fever.  Now I fear covid. My throat feels funny. And I am feeling weak.,i smoked two cigarettes after 1week with a person who had fever   now i fear covid  my throat feels funny  and i am feeling weak ,2,2,primary
79,1255439575813623808t,"@carolinealittle @SkyNews Caroline he is the only person who has ‘had COVID’, and miraculously been sitting up talking in intensive care, not a cough or splutter about him when interviewed after coming out of hospital. He has a proven track record of lying and shying away from work so you’ll forgive us", carolinealittle  skynews caroline he is the only person who has  had covid   and miraculously been sitting up talking in intensive care  not a cough or splutter about him when interviewed after coming out of hospital  he has a proven track record of lying and shying away from work so you will forgive us,1,1,third-party
80,1241396163795988480t,@tga_iolo I'm self isolating at the moment and I think it's Covid 19. I'm available to go and cough on this d*ck., tga iolo i am self isolating at the moment and i think it is covid 19  i am available to go and cough on this d ck ,2,2,primary
81,1312760186034155528t,Last night I was so cold I used 4 blankets and still spent the first half of the night freezing to death. Then I woke up again so fucking hot I gave us a covid fever scare,last night i was so cold i used 4 blankets and still spent the first half of the night freezing to death  then i woke up again so fucking hot i gave us a covid fever scare,2,2,primary
82,1264057790290464770t,"@newschannelnine @WLOS_13 Dr. Hathaway: ""Don't cough into the hand dryer's winds tream""  Okay, Dr.; What happens if some knuckle head, COVID-19 positive, coughs (No Face-Mask) while using Hand Dryers? Or Someone else near the Hand Dryer coughs/sneezes (no face mask) while the Hand Dryer is in use? @CDCgov", newschannelnine  wlos 13 dr  hathaway   do not cough into the hand dryer s winds tream   okay  dr   what happens if some knuckle head  covid 19 positive  coughs  no face mask  while using hand dryers  or someone else near the hand dryer coughs sneezes  no face mask  while the hand dryer is in use   cdcgov,0,0,non-reporting
